reference,transfer_to_source,status,payment_method_code,updated_at
zxk0-sl0e,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:08
y7aq-grc0,True,canceled,yemekpay_creditcard,2024-05-04 21:55:12
ux5k-segv,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:15
fvi3-3vbb,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:15
ij2n-95e1,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:15
zewb-38wg,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:16
b7av-o57v,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:16
efo8-hw3t,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:17
dcpf-nz1p,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:17
ctdt-8nmq,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:22
l69s-y1dc,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:24
lhuz-bae1,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 21:55:26
baka-5l1q,False,partially_refunded_to_source,yemekpay_creditcard,2024-05-04 21:55:27
dbz3-f86j,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:34
dpo6-vqfo,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:48
ca8d-aiq7,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:55:57
vah2-g2ff,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:56:00
sboa-z2g5,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:56:01
u54o-b2zh,False,canceled_to_wallet,yemekpay_creditcard,2024-05-04 21:56:38
